genus_Akkermansia genus_Alistipes genus_Anaerotruncus genus_Anaerovorax genus_Bacteroides genus_Barnesiella genus_Bilophila genus_Blautia genus_Butyricicoccus genus_Butyricimonas genus_Clostridium.IV genus_Clostridium.XI genus_Clostridium.XVIII genus_Clostridium.XlVa genus_Clostridium.XlVb genus_Clostridium.sensu.stricto genus_Collinsella genus_Coprococcus genus_Dorea genus_Eggerthella genus_Erysipelotrichaceae_incertae_sedis genus_Faecalibacterium genus_Flavonifractor genus_Holdemania genus_Lachnospiracea_incertae_sedis genus_Odoribacter genus_Oscillibacter genus_Parabacteroides genus_Parasutterella genus_Phascolarctobacterium genus_Prevotella genus_Pseudoflavonifractor genus_Roseburia genus_Ruminococcus genus_Streptococcus genus_Veillonella genus_unclassified_Bacteria genus_unclassified_Clostridiales genus_unclassified_Clostridiales_Incertae.Sedis.XIII genus_unclassified_Coriobacteriaceae genus_unclassified_Erysipelotrichaceae genus_unclassified_Firmicutes genus_unclassified_Lachnospiraceae genus_unclassified_Porphyromonadaceae genus_unclassified_Ruminococcaceae
ZTL5S2Y-01 0 0.062931079 0.000207437 0.000337084 0.69291604 0.034693772 5.19e-05 0.043302391 0.000570451 0.00243738 0.003293056 0.000259296 0.000103718 0.00855676 0.003422704 0 0.000803817 0.001426127 0.000492662 5.19e-05 0.000129648 0.014494633 0.000751958 0.000181507 0.023492195 0.001659493 0.005523 0.011227506 0.001452056 0.01283514 0.000881606 0 0.001114972 0.023466266 7.78e-05 0 0.004174662 0.001270549 2.59e-05 0.000181507 0.000337084 0.00059638 0.022325364 2.59e-05 0.010605196
ZTL8083-01 0.002774517 0.005442322 0.000391278 0.00241881 0.115249173 0.004944332 3.56e-05 0.037953971 0.00049799 0.000213424 0.002134244 0.011845054 0.003557073 0.000782556 0.001031551 0.004410771 0.048660762 0 0.011809483 3.56e-05 0.000248995 0.021733717 0.003770498 7.11e-05 0.154554832 0.000248995 0.034788176 0.007612137 0.001565112 0.000604702 0 3.56e-05 0.014619571 0.178067086 0.02721161 0.000177854 0.000355707 0.032689503 0.000284566 0.002810088 0.001814107 0.002063102 0.08647245 7.11e-05 0.064845445
ZTLIFAS-01 0.004704585 0.058255735 0.000324454 0.00017845 0.688118491 0.015898251 0.000243341 0.014129976 0.00017845 0.002514519 1.62e-05 0.00017845 0.000113559 0.00155738 0.001411375 0 0.002644301 0.004412576 0.003666331 4.87e-05 0.005483274 0.00575906 0.004282794 9.73e-05 0.021040849 0.007267772 0.022225106 0.016384932 0.005483274 0 3.24e-05 8.11e-05 0.00827358 0.001086921 1.62e-05 0 0.002984978 0.002060284 0.000697576 0.000616463 0.002092729 6.49e-05 0.022046657 0.000924694 0.045618247
ZTLUDS8-1023 0 0.078731213 8.74e-05 8.74e-05 0.499038798 0.011359664 0.000174764 0.053390423 0.00087382 0.001922405 0.001572877 0.003320517 0.00087382 0.000174764 0.000699056 0.000262146 0.012932541 0.00602936 0.007951765 0 0.000262146 0.036001398 0.001922405 0 0.092275428 0.001398113 0.028224397 0.007864383 0 0.005330304 0.00043691 0 0.003932192 0 0.000174764 0 0.016777351 0.016777351 0.000961202 0.001135966 0.004019574 0.000349528 0.020971688 0.018088081 0.049545613
ZTMFN3O-01 0 0.174505248 0.001041583 0.000240365 0.197420079 0 0.000801218 0.006810352 0.002804262 0.0080923 0.00088134 0.004647064 0.001762679 0.002403654 0.002804262 0.001121705 0.002964506 0 0.002403654 0.000480731 0.000160244 0.189167535 0.007291082 0.000480731 0.046550757 0.003445237 0.064658281 0.039339796 0.00088134 0.012258633 0 0.00088134 0.001762679 0.000640974 0.000160244 0.000160244 0.002323532 0.007531448 0.000240365 0.005047672 0.002003045 0.000560852 0.009294127 0.003365115 0.104719173
ZTTL3YH-01 0.001178701 1.59e-05 6.37e-05 3.19e-05 0.888469441 0 0 0.005941288 0.000159284 0 0.000541565 0 4.78e-05 0.00089199 0.005590863 0 0.000876061 1.59e-05 0 0 3.19e-05 0.01707523 0.001720266 1.59e-05 0.008394259 1.59e-05 0.0024689 0.024147433 0 0.005017442 0.000812348 3.19e-05 6.37e-05 3.19e-05 0.000175212 4.78e-05 0 0.00058935 3.19e-05 0 0.00157691 0.000445995 0.007677482 0 0.007311129
ZTUO1AO-01 0.007484277 0.001540881 0.000157233 0 0.199025157 0 0.000125786 0.186981132 0.001792453 0 0.001132075 0 0.000314465 0.040974843 0.001477987 3.14e-05 0.002767296 0 0.040251572 0.001069182 0.001100629 0.097735849 0.001257862 0.000408805 0.161100629 0 0.001949686 0 0 0 0 0 0.071698113 0 0.001761006 0.000314465 0 0.000125786 3.14e-05 3.14e-05 0.044339623 0 0.093962264 0 0.013616352
ZTXWLP3-02 0 0.04481477 9.14e-05 0.000182793 0.091091884 0.004387034 0 0.032598099 0.002132586 0.000548379 0.004722155 0.000396052 0.000152328 0.013343895 0.000365586 0.001096758 0.005788447 0.006275896 0.008256154 0.00027419 0 0.081738971 6.09e-05 9.14e-05 0.110010968 0.000974896 0.01215574 0.020076773 3.05e-05 0 0 0.000121862 0.042225201 0.016877894 0.00149281 0 0.070801852 0.157171582 0.000731172 0.000335121 0.000121862 0.00325981 0.086065074 0.000182793 0.125517914
ZUC2YGO-1012 0 3.67e-05 0 0 0.888017014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.83e-05 0 0 5.5e-05 0 0 1.83e-05 0.00225506 0.034577589 1.83e-05 0 1.83e-05 0 7.33e-05 0.002401731 0 0.025649017 0 0 0.010193605 0 9.17e-05 0 0
ZUF48YS-01 0.001327479 0.040743388 0.002246503 0 0.131420402 0.007658532 0.000714796 0.023792505 0.001429593 0.002552844 0.001531706 0.002654958 0.000612683 0.005105688 0.000204228 0.001225365 0.05003574 0.002859185 0.001940161 0.000102114 0.000408455 0.117532932 0.003369754 0 0.050239967 0.001021138 0.069539467 0.042989891 0.004799346 0 0.000204228 0.002961299 0.031246809 0.012764219 0.006943735 0 0.125804146 0.012764219 0.000204228 0.001429593 0.001225365 0.004697233 0.056060451 0 0.162462984
ZUG7QHE-01 0 0.035624587 0.000991408 0.000198282 0.028949108 0.016060806 0.000396563 0.043291474 0.001652346 0.001454065 0.00257766 0.005287508 0 0.00171844 0.000660939 0.000793126 0.01989425 0.00290813 0.002247191 0.00085922 0 0.043952412 0.002247191 0.000396563 0.093390615 0.00376735 0.120423001 0.00720423 0 0 0.000198282 0.000198282 0.013483146 0.006477198 0.001255783 6.61e-05 0.040713814 0.059881031 0.000396563 0.002247191 0.001255783 0.000727032 0.051883675 0 0.361731659
ZUL3S6O-2012 0 0.0812778 0 8.09e-05 0.368540235 0.021107966 0.001051355 0.004043672 0.000566114 0.000485241 0.00024262 0.001536595 0.000161747 0.000566114 0.000161747 0 0 0.001051355 0.000566114 0 0 0.099474323 0.000323494 8.09e-05 0.149211484 0.002102709 0.009057825 0.006065507 0.002668823 0 0.022968055 0.000485241 0.050869389 0.003801051 0.002507076 0.000404367 0.022401941 0.002911444 0 0.000566114 0.000323494 0.000404367 0.025394258 0 0.059765467
ZUPAQVU-01 4.28e-05 0.003212679 0 0.000257014 0.00621118 0 0 0.006596702 0.001113729 0.000128507 0.006168344 0.006339687 0.001113729 0.001156565 0.000471193 0.000214179 0.003255515 0.001884772 0.002655815 0 0.000728207 0.550867423 0.000257014 0 0.021417862 0.000128507 0.00681088 0.002527308 0.005440137 8.57e-05 0.000942386 4.28e-05 0.042792889 0.016020561 0.019618762 0.182437353 0.036410366 0.006039837 8.57e-05 0.001285072 0 0.0011994 0.053458985 0 0.00591133
ZV14SIB-01 0 0.004450023 0.000171155 0.000684619 0.05288681 0.013121862 5.71e-05 0.01340712 0.001141031 0.000627567 0 0.000855774 0.000228206 0.000171155 0.000456413 0 0.003708352 0.004507074 0.002396166 0 0.013977636 0.053913738 0.000228206 0 0.061558649 0.006960292 0.031948882 0.002510269 0.009698768 0.000228206 0 0.000342309 0.016830215 0.002053857 0.000114103 0.000228206 0.123345504 0.340883158 0 0.001426289 0.001312186 0.002339115 0.060303514 0.000627567 0.069659973
ZVGW5FI-01 0 0.001682565 0 0 0.645340268 0 0 0.015393387 1.39e-05 0 1.39e-05 0.002280502 0.000292015 0.004435854 1.39e-05 4.17e-05 0.018216203 0.002141447 0.003267792 0.00015296 4.17e-05 0.11499847 0.000486692 0 0.107253108 0.002030203 0.003295603 0.01130517 0.017340156 0 0 0 0.003657146 0.003003588 5.56e-05 5.56e-05 0.017159385 0.002322218 9.73e-05 0 0.00015296 0.001891148 0.01646411 0 0.002739383
ZVM4N7A-01 0 0.019523367 0 0 0.542890184 0.005011224 2.27e-05 0.087435659 0.00104306 0 6.8e-05 0.003333258 6.8e-05 0.000317453 0.000226752 4.54e-05 0.000181402 0.011768441 0.012811501 2.27e-05 6.8e-05 0.020815855 0.000566881 9.07e-05 0.094102175 0.001179112 0.000317453 0.01376386 0 0.000430829 2.27e-05 0 0.00911544 0.031904038 0.000113376 2.27e-05 0.029591166 0.003469309 0.000317453 0.000430829 0.014126664 0.006303712 0.037572844 0 0.009364867
ZVNCGHM-1011 0.002512154 0.114140169 2.33e-05 0.000162825 0.395803773 0.015026401 0 0.008234282 0.002488893 0 0.000883906 0.007117769 9.3e-05 0.00069782 9.3e-05 0.000232607 2.33e-05 0.001791073 0.004349748 0 2.33e-05 0.02214417 9.3e-05 4.65e-05 0.040775976 0.007629504 0.004000837 0.012188598 0.025982182 0.008234282 0 2.33e-05 0.009141448 0.000209346 0 9.3e-05 0.020725268 0.003582145 9.3e-05 9.3e-05 6.98e-05 0.001488684 0.050010467 0 0.044544207
ZVTCAK9-01 0.009700913 0.009014387 0.000328339 0.001850636 0.079189302 0 0.000596979 0.082204048 8.95e-05 0 0.001402901 0.001970032 0.001402901 0.003134141 0.004089308 5.97e-05 0 0.00202973 0.005104173 0.001552146 0.000477583 0.040684138 0.002865501 5.97e-05 0.03949018 0 0.186675422 0.026267089 0.013312638 0 2.98e-05 0.000895469 0.029013193 0.022118083 0.000716375 0 0.074174676 0.142618351 2.98e-05 0.00749209 0.000268641 0.005283267 0.076114859 0 0.116828846
ZWCZHHY-01 0.006466513 0.006497306 0 0.000277136 0.556612779 0 0.000461894 0.03630485 0.000369515 0 0.000246343 0.00274057 9.24e-05 0.004064665 0.000461894 0 6.16e-05 0.001878368 0.002925327 3.08e-05 0.003233256 0.056905312 0.000338722 0.000184758 0.162925327 0 0.002340262 0.025127021 0 0.003294842 0 0 0.006004619 0.021555042 0.000277136 0 6.16e-05 0.001200924 0.000277136 6.16e-05 0.011331794 0.002925327 0.071839877 0.001077752 0.006774442
ZWFDEY0-01 0.002281022 0.002230333 0 0 0.590607259 0 0 0.030768451 0.000582928 0.000684307 0.005144972 0.000253447 0.000228102 0.000684307 0.001089822 0.008211679 0.000304136 0.0011912 0.001748783 2.53e-05 0 0.05482056 0.000202758 5.07e-05 0.132400649 0.000278792 0.000861719 0.009884428 0.003903082 0.004409976 0 0 0.023038321 0.013534063 5.07e-05 0 0.008287713 2.53e-05 0 7.6e-05 0.004409976 0.00205292 0.029171736 0 0.001647405
ZWHMV5E-01 0 0.0158821 0 4.77e-05 0.53288501 0 4.77e-05 0.016931368 0.003481662 0 0.000572328 0.000667716 0.004864788 0.003004722 0.001383126 0.00023847 0 0 0.004387848 0.002050842 0.000143082 0.217770783 0.000524634 9.54e-05 0.047980159 4.77e-05 0.003767826 0.013592789 0.012209663 0.005532503 9.54e-05 0 0.035627415 0.010206515 0 0 0.002766252 0.008632613 0 0.001096962 0 0.002337006 0.036008966 0 0.014165117
ZWLGEWL-01 9.86e-05 0.0168664 4.93e-05 9.86e-05 0.459683385 0 4.93e-05 0.027666815 0.001084973 0 0.028307935 9.86e-05 0 0.00064112 0.000986339 0 0 0 0.003797406 9.86e-05 9.86e-05 0.130048824 0.000591804 4.93e-05 0.073432954 0.007101642 0.005572816 0.017951373 0 4.93e-05 0 0.000542487 0.030576515 0.004241259 0 0 0.022241949 0.001676777 0 0.00049317 0.003057652 0.000443853 0.029984712 0.013019677 0.020663806
ZX52KVK-01 0.009660597 0.129064432 0.000683936 0.000199481 0.175714571 0 0.000142487 0.082328802 0.001082899 0 0.000398963 0.000170984 0.00042746 0.000455957 0.0021373 0.001082899 0.002849734 0.003505172 0.010914479 2.85e-05 0.000113989 0.096919438 0.000911915 8.55e-05 0.088569719 0.002279787 0.007694281 0.05850503 0.003334188 0.009717591 8.55e-05 2.85e-05 0.026502522 0.042347041 0.00170984 0 0.005357499 0.014191673 0.000968909 0.001652845 0.028867801 0.015417059 0.073010174 0.000455957 0.097061925
ZXKBAO5-04 0.002322307 0.025453947 0.000109715 1.83e-05 0.354599813 1.83e-05 0 0.048731874 0.002249163 0 0.010770384 0.001060581 0.005723481 0.000493719 0.000384004 0.001371441 0 0.002139448 0.005211476 0.000914294 0.001609158 0.035986615 0.000292574 3.66e-05 0.134858376 0 0.006619489 0.013019548 0.000329146 0 5.49e-05 0 0.035584325 0.025380803 0.003437746 0.000128001 0.073564101 0.005394335 0.000566862 0.001024009 0.006564631 0.006363487 0.120083384 1.83e-05 0.051712473
ZXSO14L-02 0.000399481 0.009687406 0 4.99e-05 0.033806052 4.99e-05 0 0.020223709 0.001148507 0.00019974 0.00019974 0.003345651 0 0.004194547 0.001897533 0.001747728 0.000749026 0.008488964 0.006142015 0 0.005742535 0.011235394 9.99e-05 0 0.030210726 0.000898832 0.002247079 0.011235394 0 4.99e-05 0.603565365 0 0.030510337 0.015380006 0.002047338 9.99e-05 0.006142015 0.00274643 0.000649156 0.000249675 0.000349546 0.000399481 0.027863777 0.013682213 0.072605613
ZY1ZKJY-01 0.004124137 0.003505516 5.16e-05 0 0.063666357 0.001340344 5.16e-05 0.025002578 0.007165687 0.000257759 0.000463965 0.068718425 0.003453964 0.000824827 0.000979482 0.018764821 0.013145685 0.010516548 0.010722755 0 0.000257759 0.166254253 0.001701206 0.000103103 0.100422724 0.000206207 0.022579647 0.019074131 0 0.004742757 0.003711723 0.000360862 0.006392412 5.16e-05 5.16e-05 0.000103103 0.055572739 0.007732756 5.16e-05 0.00422724 0 0.007732756 0.08490566 0.217857511 0.032529127
ZY39SN0-01 0.005163205 0.021721068 0.001186944 0.002255193 0.124569733 0 0 0.05851632 0.00148368 0.002848665 0.037863501 0.010207715 0.001721068 0.005578635 0.001246291 0 0.058456973 0.00611276 0.003382789 0.002136499 0.000178042 0.033590504 0.009080119 0 0.073649852 0.001305638 0.068783383 0.032284866 0.016023739 0.005994065 0.003026706 0.002077151 0.009139466 0.064747774 0.000356083 0 0.109614243 0.012225519 0.000593472 0.002255193 0.000296736 0.002967359 0.049376855 5.93e-05 0.102077151
ZYHHR4Z-01 0.000208176 0.089151422 0.008301023 0.000182154 0.318977855 0 0.000364308 0.009003617 0.00013011 0.010252674 0.000312264 0.00039033 0 0.002498113 0.001170991 2.6e-05 0.020115017 0.000442374 0.003304796 0.001197013 0.000182154 0.008691353 0.00361706 0.000208176 0.046345208 0.008665331 0.028259908 0.024096386 0.002888444 0.006427438 0.000364308 0 7.81e-05 0.005880975 0.000754638 0 0.002654245 0.001223035 0.001587343 0.005308491 0.011996149 0.00026022 0.044419579 0.009992454 0.127846158
ZYLJ7R7-01 0 0.00334946 0 0 0.147934499 0 0 0.079828805 0.009117975 0 0.000744325 0.097506513 0.010792706 0.005768515 0 0.002046892 0 0 0.011723111 0.002046892 0.005768515 0.076851507 0.001488649 0.000186081 0.208224786 0 0.001860811 0 0 0.001488649 0 0 0.02307406 0.077409751 0.00334946 0 0.001302568 0 0 0 0 0.001860811 0.177149237 0 0.006698921
ZYU89T9-01 0.003756076 0.005921343 0.000618648 8.84e-05 0.685726911 0 0 0.010428635 8.84e-05 0 4.42e-05 0 0.001237296 0.005612019 0.003579319 0 0.000132567 0 0.0020327 0.000309324 0.001281485 0.069155988 0.019752541 0.000176757 0.049933716 0 0.019001326 0 0 0 0 0.000220946 0.031153336 0 0.001148917 0.00256297 0 0.002783915 4.42e-05 0 8.84e-05 0.000707026 0.049270879 0 0.031506849
